Index,Time,EBS_BOOK::EUR/USD.BUY_SELL_FLAG,EBS_BOOK::EUR/USD.NUM_PARTCP,EBS_BOOK::EUR/USD.PRICE,EBS_BOOK::EUR/USD.SIZE,EBS_BOOK::EUR/USD.TOTAL_SIZE,EBS_BOOK::EUR/USD.OMDSEQ,EBS_BOOK::USD/JPY.BUY_SELL_FLAG,EBS_BOOK::USD/JPY.NUM_PARTCP,EBS_BOOK::USD/JPY.PRICE,EBS_BOOK::USD/JPY.SIZE,EBS_BOOK::USD/JPY.TOTAL_SIZE,EBS_BOOK::USD/JPY.OMDSEQ,EBS_BOOK::EUR/JPY.BUY_SELL_FLAG,EBS_BOOK::EUR/JPY.NUM_PARTCP,EBS_BOOK::EUR/JPY.PRICE,EBS_BOOK::EUR/JPY.SIZE,EBS_BOOK::EUR/JPY.TOTAL_SIZE,EBS_BOOK::EUR/JPY.OMDSEQ
1,2012/01/25 09:30:06.500,0,3,1.2973600,4000000,4000000,3,,,,,,,,,,,,
2,2012/01/25 09:30:06.500,1,1,1.2973600,1000000,2000000,4,,,,,,,,,,,,
3,2012/01/25 09:30:06.800,1,3,1.2974000,4000000,4000000,3,,,,,,,,,,,,
4,2012/01/25 09:30:07.000,0,1,1.2974200,1000000,1000000,3,,,,,,,,,,,,
5,2012/01/25 09:30:07.000,1,1,1.2974900,1000000,1000000,4,,,,,,,,,,,,
6,2012/01/25 09:30:07.100,1,1,1.2974900,1000000,1000000,3,,,,,,,,,,,,
7,2012/01/25 09:30:08.400,0,1,1.2972700,1000000,1000000,3,,,,,,,,,,,,
8,2012/01/25 09:30:08.900,,,,,,,0,1,78.0530000,1000000,1000000,5,,,,,,
9,2012/01/25 09:30:09.000,,,,,,,1,1,78.0580000,1000000,1000000,3,,,,,,
10,2012/01/25 09:30:12.400,1,1,1.2972000,2000000,4000000,1,,,,,,,,,,,,
11,2012/01/25 09:30:12.500,0,2,1.2972000,6000000,6000000,3,,,,,,,,,,,,
12,2012/01/25 09:30:18.200,1,1,1.2971100,1000000,1000000,3,,,,,,,,,,,,
13,2012/01/25 09:30:24.200,,,,,,,0,1,78.0530000,1000000,1000000,5,,,,,,
14,2012/01/25 09:30:28.100,1,1,1.2972000,5000000,5000000,3,,,,,,,,,,,,
15,2012/01/25 09:30:30.000,0,1,1.2971500,1000000,5000000,2,,,,,,,,,,,,
16,2012/01/25 09:30:45.500,,,,,,,1,1,78.0600000,1000000,1000000,1,,,,,,
17,2012/01/25 09:30:45.600,,,,,,,0,1,78.0600000,1000000,1000000,2,,,,,,
18,2012/01/25 09:30:49.400,0,1,1.2971300,1000000,1000000,3,,,,,,,,,,,,
19,2012/01/25 09:30:51.500,0,1,1.2971300,1000000,1000000,3,,,,,,,,,,,,
20,2012/01/25 09:30:51.600,0,1,1.2971200,1000000,1000000,3,,,,,,,,,,,,
21,2012/01/25 09:30:55.700,,,,,,,0,1,78.0520000,1000000,4000000,2,,,,,,
22,2012/01/25 09:30:55.700,,,,,,,1,1,78.0530000,1000000,1000000,3,,,,,,
23,2012/01/25 09:30:55.800,0,1,1.2971100,1000000,1000000,3,0,1,78.0520000,1000000,1000000,5,,,,,,
24,2012/01/25 09:30:55.800,,,,,,,1,1,78.0530000,1000000,2000000,6,,,,,,
25,2012/01/25 09:30:55.900,0,1,1.2971100,1000000,1000000,3,,,,,,,,,,,,
26,2012/01/25 09:30:56.000,0,1,1.2971100,1000000,1000000,2,,,,,,,,,,,,
27,2012/01/25 09:30:57.100,1,1,1.2971700,2000000,2000000,2,,,,,,,,,,,,
28,2012/01/25 09:30:57.200,,,,,,,1,3,78.0500000,4000000,4000000,3,,,,,,
29,2012/01/25 09:30:57.200,,,,,,,0,2,78.0500000,3000000,4000000,4,,,,,,
30,2012/01/25 09:30:57.500,,,,,,,0,1,78.0560000,1000000,1000000,4,,,,,,
31,2012/01/25 09:30:59.300,0,1,1.2971000,1000000,2000000,3,,,,,,,,,,,,
32,2012/01/25 09:30:59.500,0,1,1.2971000,1000000,1000000,3,,,,,,,,,,,,
33,2012/01/25 09:30:59.600,,,,,,,,,,,,,0,1,101.2430000,1000000,1000000,2
34,2012/01/25 09:31:00.000,1,3,1.2971000,3000000,3000000,3,,,,,,,,,,,,
35,2012/01/25 09:31:00.100,1,1,1.2971100,1000000,4000000,4,,,,,,,,,,,,
36,2012/01/25 09:31:00.200,0,1,1.2971000,1000000,1000000,3,,,,,,,,,,,,
37,2012/01/25 09:31:00.400,1,1,1.2971700,1000000,1000000,3,,,,,,,,,,,,
38,2012/01/25 09:31:00.600,1,1,1.2972500,1000000,14000000,1,,,,,,,,,,,,
39,2012/01/25 09:31:00.800,0,1,1.2971100,1000000,1000000,2,,,,,,,,,,,,
40,2012/01/25 09:31:04.200,0,1,1.2971000,1000000,1000000,1,,,,,,,,,,,,
41,2012/01/25 09:31:04.300,1,1,1.2971000,1000000,1000000,2,,,,,,,,,,,,
42,2012/01/25 09:31:05.300,1,1,1.2971700,2000000,2000000,1,,,,,,,,,,,,
43,2012/01/25 09:31:06.000,0,1,1.2972000,3000000,3000000,3,,,,,,,,,,,,
44,2012/01/25 09:31:06.700,0,1,1.2970500,1000000,1000000,3,,,,,,,,,,,,
45,2012/01/25 09:31:06.900,0,1,1.2970500,1000000,1000000,3,,,,,,,,,,,,
46,2012/01/25 09:31:10.900,1,1,1.2972000,1000000,1000000,3,,,,,,,,,,,,
47,2012/01/25 09:31:15.300,0,1,1.2972000,1000000,1000000,1,,,,,,,,,,,,
48,2012/01/25 09:31:15.400,1,1,1.2972000,1000000,1000000,2,,,,,,,,,,,,
49,2012/01/25 09:31:15.700,0,1,1.2971100,1000000,2000000,3,,,,,,,,,,,,
50,2012/01/25 09:31:15.800,1,1,1.2971100,1000000,1000000,3,,,,,,,,,,,,
51,2012/01/25 09:31:16.200,1,1,1.2971700,1000000,1000000,1,,,,,,,,,,,,
52,2012/01/25 09:31:19.200,1,1,1.2971000,2000000,2000000,2,,,,,,,,,,,,
53,2012/01/25 09:31:20.900,0,1,1.2972000,2000000,2000000,2,,,,,,,,,,,,
54,2012/01/25 09:31:21.800,,,,,,,0,1,78.0500000,1000000,1000000,3,,,,,,
55,2012/01/25 09:31:22.400,0,1,1.2971400,1000000,4000000,3,,,,,,,,,,,,
56,2012/01/25 09:31:23.900,1,1,1.2972000,2000000,2000000,4,,,,,,,0,1,101.2430000,1000000,1000000,2
57,2012/01/25 09:31:24.200,0,1,1.2971000,2000000,4000000,3,,,,,,,,,,,,
58,2012/01/25 09:31:24.800,1,1,1.2972600,1000000,1000000,3,,,,,,,,,,,,
59,2012/01/25 09:31:24.900,0,2,1.2971600,2000000,3000000,3,,,,,,,,,,,,
60,2012/01/25 09:31:26.100,0,1,1.2971100,1000000,5000000,2,,,,,,,,,,,,
61,2012/01/25 09:31:29.100,0,1,1.2971500,1000000,1000000,2,,,,,,,,,,,,
62,2012/01/25 09:31:29.200,0,1,1.2971200,1000000,1000000,2,,,,,,,,,,,,
63,2012/01/25 09:31:29.200,1,1,1.2972000,3000000,3000000,3,,,,,,,,,,,,
64,2012/01/25 09:31:30.000,,,,,,,0,1,78.0480000,1000000,1000000,2,,,,,,
65,2012/01/25 09:31:30.100,,,,,,,0,3,78.0480000,3000000,3000000,4,,,,,,
66,2012/01/25 09:31:30.100,,,,,,,1,1,78.0480000,1000000,1000000,5,,,,,,
67,2012/01/25 09:31:30.200,,,,,,,0,2,78.0480000,3000000,3000000,2,,,,,,
68,2012/01/25 09:31:30.300,,,,,,,1,1,78.0460000,2000000,2000000,3,,,,,,
69,2012/01/25 09:31:30.400,,,,,,,0,1,78.0460000,1000000,1000000,2,,,,,,
70,2012/01/25 09:31:30.600,1,1,1.2972600,1000000,1000000,2,,,,,,,,,,,,
71,2012/01/25 09:31:32.500,0,1,1.2972500,1000000,1000000,2,,,,,,,,,,,,
72,2012/01/25 09:31:33.000,0,1,1.2972000,10000000,10000000,1,,,,,,,,,,,,
73,2012/01/25 09:31:33.100,1,1,1.2972000,4000000,4000000,4,,,,,,,,,,,,
74,2012/01/25 09:31:33.200,1,1,1.2972000,4000000,4000000,3,,,,,,,,,,,,
75,2012/01/25 09:31:33.300,0,1,1.2971500,1000000,1000000,3,,,,,,,,,,,,
76,2012/01/25 09:31:37.000,0,2,1.2971000,2000000,2000000,2,,,,,,,,,,,,
77,2012/01/25 09:31:37.200,0,1,1.2970400,1000000,1000000,2,,,,,,,,,,,,
78,2012/01/25 09:31:39.200,1,2,1.2970000,3000000,3000000,3,,,,,,,,,,,,
79,2012/01/25 09:31:39.200,0,1,1.2970000,2000000,2000000,4,,,,,,,,,,,,
80,2012/01/25 09:31:41.400,0,1,1.2970000,2000000,2000000,1,,,,,,,,,,,,
81,2012/01/25 09:31:44.100,0,1,1.2970000,1000000,1000000,1,,,,,,,,,,,,
82,2012/01/25 09:31:47.300,0,1,1.2970000,1000000,1000000,3,,,,,,,,,,,,
83,2012/01/25 09:31:49.200,0,1,1.2970000,2000000,2000000,2,,,,,,,,,,,,
84,2012/01/25 09:31:49.300,0,1,1.2970000,1000000,1000000,2,,,,,,,,,,,,
85,2012/01/25 09:31:49.900,0,1,1.2970000,5000000,5000000,1,,,,,,,,,,,,
86,2012/01/25 09:31:50.000,0,1,1.2969800,1000000,1000000,3,,,,,,,,,,,,
87,2012/01/25 09:31:50.100,0,1,1.2969400,1000000,1000000,4,,,,,,,0,1,101.2200000,1000000,1000000,2
88,2012/01/25 09:31:50.200,,,,,,,,,,,,,1,1,101.2190000,1000000,1000000,2
89,2012/01/25 09:31:52.000,0,1,1.2969000,2000000,2000000,2,,,,,,,,,,,,
90,2012/01/25 09:31:53.900,0,1,1.2969000,5000000,5000000,3,,,,,,,,,,,,
91,2012/01/25 09:31:54.000,1,2,1.2969000,2000000,2000000,3,,,,,,,,,,,,
92,2012/01/25 09:31:54.000,0,1,1.2968900,1000000,1000000,4,,,,,,,,,,,,
93,2012/01/25 09:31:54.100,1,2,1.2969000,3000000,3000000,3,,,,,,,,,,,,
