instrument,tercile,n,dollar_min,dollar_max,lambda,lambda_bps
AAPL,small,20020,285.23,8012.199999999999,6.086316400391494e-05,0.6086316400391494
AAPL,medium,20020,8012.76,28877.999999999996,6.311489309683037e-05,0.6311489309683037
AAPL,large,20020,28877.999999999996,3154470.0,6.922169205689753e-05,0.6922169205689753
GPRO,small,724,4.2,432.0,0.0016776430976345664,16.776430976345665
GPRO,medium,723,432.0,886.0,0.001996028190292655,19.96028190292655
GPRO,large,723,886.0,86400.0,0.0023053124256234357,23.05312425623436
EURUSD,small,4787,1294780.0,1305180.0,1.874481240462762e-05,0.1874481240462762
EURUSD,medium,4787,1305190.0,2595640.0,1.911576814475189e-05,0.1911576814475189
EURUSD,large,4787,2595640.0,193510000.00000003,3.468680269809857e-05,0.3468680269809857
USDJPY,small,1989,1000000.0,1000000.0,1.7277613237822014e-05,0.17277613237822015
USDJPY,medium,1988,1000000.0,2000000.0,2.5879991660587353e-05,0.25879991660587354
USDJPY,large,1989,2000000.0,44000000.0,3.593360209891843e-05,0.35933602098918427
EURJPY,small,512,1294745.9307345462,1302064.7529097747,5.00309083561373e-05,0.5003090835613729
EURJPY,medium,512,1302075.178706639,1309492.6887688413,5.635687981262787e-05,0.5635687981262787
EURJPY,large,512,1309493.1492737199,26149934.013583545,5.795201275823652e-05,0.5795201275823653
