instrument,frequency,return_type,n,mean,std,sum_of_returns,t_stat_mean,realized_variance,autocorr_lag1,stale_share,n_nonstale,realized_variance_nonstale,autocorr_lag1_nonstale
AAPL,1s,mid_ret,23399,3.302091615026831e-07,6.988458734743829e-05,0.007726564170001282,0.7227803915764245,0.00011427500351126696,0.06260398362529146,,,,
AAPL,1s,trade_ret,23399,3.3537744061581096e-07,7.348446535515055e-05,0.007847496732969361,0.6981310532566769,0.00012635105151572877,0.03691799048400678,0.4700854700854701,12399.0,0.00012635105151572883,0.03677683978053617
AAPL,1min,mid_ret,389,2.4841239937809934e-05,0.0005715104992733652,0.009663242335808064,0.8572822998603634,0.00012697025622396117,0.10526771870700548,,,,
AAPL,1min,trade_ret,389,2.497472816794762e-05,0.0005822813056980096,0.009715169257331624,0.8459461600836193,0.00013179462306987441,0.07829750374232125,0.0,389.0,0.00013179462306987441,0.07829750374232125
GPRO,1s,mid_ret,23399,5.001389581565748e-08,0.00023368596893074328,0.0011702751481905693,0.03273834316699301,0.0012777445308232163,0.015236900022159005,,,,
GPRO,1s,trade_ret,23399,1.502176207292841e-07,0.0002102990398307619,0.0035149421074445186,0.10926529380788201,0.0010347931326314581,0.07175744981906992,0.969957264957265,702.0,0.0010347931326314581,0.1308813873949065
GPRO,1min,mid_ret,389,-1.1998593952429438e-05,0.001879803687490186,-0.0046674530474950515,-0.12589041348404068,0.0013711168214325694,0.014719789785490316,,,,
GPRO,1min,trade_ret,389,-9.004191648334281e-06,0.0018016467251235101,-0.003502630551202035,-0.09857116606772733,0.0012594527361502847,0.044230291756768264,0.2692307692307692,284.0,0.0012594527361502847,0.05083894153304278
EURUSD,1s,mid_ret,23399,4.6021450798195773e-07,3.165702343282869e-05,0.010768559272269829,2.2237649276875175,2.3453662416405867e-05,0.01966222921136056,,,,
EURUSD,1s,trade_ret,23393,4.555529328612553e-07,3.536940397819288e-05,0.010656749758423345,1.9699448409691993,2.9268123619584016e-05,-0.02105169830606985,0.7029914529914529,6943.0,2.9268123619584016e-05,-0.07649219060209433
EURUSD,1min,mid_ret,389,2.8088941785365866e-05,0.0002712481958501769,0.010926598354507322,2.0424118447112836,2.88542430808585e-05,0.011190466225663444,,,,
EURUSD,1min,trade_ret,389,2.7989738279565773e-05,0.0002747828677483201,0.010888008190751086,2.0090187340042545,2.960093476994531e-05,-0.005224886322391264,0.002564102564102564,388.0,2.960093476994531e-05,-0.006334300716966859
USDJPY,1s,mid_ret,23399,-1.763840793645088e-07,2.5420590013040636e-05,-0.004127211073050141,-1.0613836786479791,1.5120665242232012e-05,0.034562202173955524,,,,
USDJPY,1s,trade_ret,23391,-1.772818554169436e-07,3.0006140316296993e-05,-0.004146799880057728,-0.9036048369799533,2.106035335415248e-05,-0.01323089670322649,0.8520940170940171,3452.0,2.1060353354152485e-05,-0.039281379875952746
USDJPY,1min,mid_ret,389,-1.0593330591808613e-05,0.00026952715017799107,-0.004120805600213551,-0.7751840122910283,2.8229868313058544e-05,0.004109662042334278,,,,
USDJPY,1min,trade_ret,389,-1.0758957746841019e-05,0.0002739370374570555,-0.004185234563521156,-0.7746298849518105,2.916113095223985e-05,-0.003358139120307198,0.03333333333333333,376.0,2.9161130952239847e-05,-0.010035059694477932
EURJPY,1s,mid_ret,23399,2.8667395523494064e-07,3.0771713230675936e-05,0.0067078838785423756,1.4250667615279686,2.2157450221464793e-05,0.046407500236728655,,,,
EURJPY,1s,trade_ret,23340,2.855451597970557e-07,3.171060641666646e-05,0.00666462402966328,1.3756903202866353,2.347072762293329e-05,0.014654791008246067,0.9521367521367521,1060.0,2.3470727622933297e-05,-0.0061907853742467385
EURJPY,1min,mid_ret,389,1.743433403808851e-05,0.00024253170778496485,0.006781955940816431,1.4177891174991653,2.294103104636733e-05,-0.1770945923640489,,,,
EURJPY,1min,trade_ret,389,1.7132709587823343e-05,0.0002481322805450671,0.00666462402966328,1.3618133487487063,2.400319898362865e-05,-0.14874542914136218,0.2128205128205128,306.0,2.400319898362865e-05,-0.15315495523064165
