instrument,variable,n,mean,std,min,median,max
AAPL,dollar_vol,390,4418091.827076923,5824765.227587758,822954.18,3223697.8475,97175268.515
AAPL,n_trades,390,171.99487179487178,123.69175542144279,50.0,135.5,1272.0
AAPL,n_orders,390,1780.8153846153846,1429.9948736202468,697.0,1461.5,23806.0
AAPL,open,390,290.2102948717949,2.0734460164817716,285.41,291.335,292.6
AAPL,close,390,290.2137435897436,2.074625951579966,285.34,291.345,292.61
AAPL,high,390,290.32698717948716,2.041313331048531,285.54,291.435,292.69
AAPL,low,390,290.09944871794875,2.110992290019127,285.23,291.26,292.55
AAPL,vwap,390,290.21677790264096,2.076010780070621,285.40580987999783,291.34319541271844,292.61581964220517
AAPL,spread,390,0.026356985533202072,0.005805078065228036,0.014646051309668987,0.025711680374415083,0.053828617969165195
AAPL,bid_depth,390,248.21700856973283,136.7157094784755,110.8980711648,216.4562934308,1532.405429891
AAPL,ask_depth,390,222.94672751523848,115.69941347174782,111.83780678906666,197.04428261821667,1647.81886647225
AAPL,bid_depth_2x,390,1298.3691446347505,527.656482181656,606.7903464137834,1187.6218726682418,5725.8591706064
AAPL,ask_depth_2x,390,1351.8465346956148,732.9367617702608,573.7323720943666,1183.112194561275,7554.046169078367
AAPL,price_impact_5s,390,5.588412364294786e-05,3.6402462979437104e-05,-6.182383437944305e-05,5.3060874050694096e-05,0.00028159270102421437
GPRO,dollar_vol,390,9658.125384615385,26673.60210535682,0.0,432.75,332323.84500000003
GPRO,n_trades,390,7.223076923076923,13.900083437053523,0.0,2.0,143.0
GPRO,n_orders,390,68.3,135.8269909307264,2.0,32.0,2171.0
GPRO,open,285,4.335912280701755,0.06891162964816605,4.2,4.32,4.465
GPRO,close,285,4.3356315789473685,0.06925753927001435,4.21,4.32,4.47
GPRO,high,285,4.337719298245614,0.06847091352907309,4.21,4.32,4.47
GPRO,low,285,4.333614035087719,0.06972096154227253,4.2,4.315,4.465
GPRO,vwap,285,4.33555781712156,0.06900236824043118,4.209995672868888,4.319955357142858,4.469879192210603
GPRO,spread,390,0.010048737480428576,0.00038694379347302665,0.009999999999996949,0.010000000000000508,0.015272434066834005
GPRO,bid_depth,390,6272.417892179779,5318.47267940545,197.0931423248,4789.334533727667,48308.6335186272
GPRO,ask_depth,390,7483.1662898385775,5357.613439107607,497.9513167787333,5944.054813475734,27223.5898315712
GPRO,bid_depth_2x,390,14712.325725747043,7402.107203723221,1816.0230891776,13162.2186655808,59118.63351862827
GPRO,ask_depth_2x,390,14406.00753006733,7098.680925894481,1841.81569711,12926.1257157428,40015.7123892
