step,seconds,bars_1s,tape_s_per_compute_s,us_per_bar
1. load_databento_stocks,28.223939693000375,46800.0,1658.166808356898,603.07563446582
2. load_currency_data,8.427605804999985,70200.0,8329.767863412797,120.05136474358953
3. minute_stats_all_instruments,0.508899577000193,117000.0,229907.83503825872,4.349569034189683
3b. impact_by_trade_size,0.0909637639997527,,,
4. price_series_returns_acf,0.22251582900025824,117000.0,525805.2900131623,1.9018446923098995
5. transaction_diagnostics_30min,0.08317724300013651,117000.0,1406634.7450324602,0.7109166068387737
6. triangular_arbitrage,0.04332216900002095,23400.0,540139.1606220983,1.851374743590639
6b. arbitrage_execution_decay,0.08655386300006285,,,
6c. triangular_arbitrage_incremental,0.026558528000350634,23400.0,881072.9269216678,1.1349798290748134
7a. plot_stock_liquidity,1.65046581300021,46800.0,28355.631259594014,35.26636352564551
7b. plot_fx_liquidity,1.8110509309999543,70200.0,38762.02419179882,25.79844631054066
7c. plot_30min_variance_acf,1.4463352019997728,117000.0,80894.11074156956,12.36183933333139
7d. plot_transaction_acf,1.2346943789998477,117000.0,94760.2920933152,10.552943410255109
