instrument,interval_start,variance,autocorr_lag1,n_returns
AAPL,2019-12-30 09:30:00,1.313673589814237e-06,0.08519223809449829,29
AAPL,2019-12-30 10:00:00,7.139391516525369e-07,-0.005129068188752533,30
AAPL,2019-12-30 10:30:00,2.1405006225350749e-07,0.017689578857429483,30
AAPL,2019-12-30 11:00:00,3.061781446975031e-07,-0.0003587359359845312,30
AAPL,2019-12-30 11:30:00,2.529772257902609e-07,0.11667144677903342,30
AAPL,2019-12-30 12:00:00,3.433747668771762e-07,0.2856951975868818,30
AAPL,2019-12-30 12:30:00,2.521119093804386e-07,-0.2488277286035966,30
AAPL,2019-12-30 13:00:00,1.4355484645113106e-07,0.09745272508640827,30
AAPL,2019-12-30 13:30:00,1.3185963603231528e-07,0.0994881381904341,30
AAPL,2019-12-30 14:00:00,1.8688341155640308e-07,0.05455879072278372,30
AAPL,2019-12-30 14:30:00,2.2738473720258645e-07,0.04053328593845579,30
AAPL,2019-12-30 15:00:00,1.3421303394429192e-07,0.11063174232707086,30
AAPL,2019-12-30 15:30:00,1.7880615202152394e-07,-0.14103229984861543,30
GPRO,2019-12-30 09:30:00,8.980555616526936e-06,0.09158950528191769,29
GPRO,2019-12-30 10:00:00,2.358232368775699e-06,0.24316832148553538,30
GPRO,2019-12-30 10:30:00,8.869511392006585e-07,0.050224749766244706,30
GPRO,2019-12-30 11:00:00,1.5308292648937012e-06,0.021875958787003734,30
GPRO,2019-12-30 11:30:00,7.946195494674554e-07,-0.17685485649676305,30
GPRO,2019-12-30 12:00:00,6.690333230455457e-07,-0.1520426314058244,30
GPRO,2019-12-30 12:30:00,1.0735581505533126e-06,-0.12528500881737212,30
GPRO,2019-12-30 13:00:00,1.3259308615224903e-06,-0.1411607834586302,30
GPRO,2019-12-30 13:30:00,9.962668856844119e-07,-0.010515728539751495,30
GPRO,2019-12-30 14:00:00,4.753262453322615e-07,-0.10267218473201936,30
GPRO,2019-12-30 14:30:00,1.5346829658910023e-05,0.06259625622217144,30
GPRO,2019-12-30 15:00:00,5.140569622417959e-06,-0.4797629729246313,30
GPRO,2019-12-30 15:30:00,1.4957806885742726e-06,0.10982666670105518,30
EURUSD,2012-01-25 09:30:00,3.8069136752322976e-08,-0.044501861397934765,29
EURUSD,2012-01-25 10:00:00,3.269412371791034e-08,-0.44126791545388067,30
EURUSD,2012-01-25 10:30:00,1.7814304912346858e-08,-0.11476870971549387,30
EURUSD,2012-01-25 11:00:00,1.6013667954062565e-08,0.06456840647655016,30
EURUSD,2012-01-25 11:30:00,2.0415681228953588e-08,0.1401030037498707,30
EURUSD,2012-01-25 12:00:00,7.81519932694965e-08,0.5730392423889932,30
EURUSD,2012-01-25 12:30:00,1.4971555653333574e-07,0.0943087272256657,30
EURUSD,2012-01-25 13:00:00,2.2008449060050399e-07,-0.14991237995030277,30
EURUSD,2012-01-25 13:30:00,4.6526605830346504e-08,-0.284897106694088,30
EURUSD,2012-01-25 14:00:00,1.726707880786504e-07,0.05226028816517625,30
EURUSD,2012-01-25 14:30:00,5.733343292722303e-08,0.29461550679286014,30
EURUSD,2012-01-25 15:00:00,5.593023367253433e-08,-0.2122933298743188,30
EURUSD,2012-01-25 15:30:00,5.801038934213929e-08,-0.1859966207641651,30
USDJPY,2012-01-25 09:30:00,2.980783415891389e-08,0.3135324046315731,29
USDJPY,2012-01-25 10:00:00,1.3102892936080704e-08,-0.43712454014248386,30
USDJPY,2012-01-25 10:30:00,3.5794860132513407e-08,-0.23026325078695073,30
USDJPY,2012-01-25 11:00:00,1.5206939575907745e-08,0.13189519984286238,30
USDJPY,2012-01-25 11:30:00,1.4502740559491348e-08,-0.175100044055892,30
USDJPY,2012-01-25 12:00:00,1.7179517134525356e-07,0.009038901593827833,30
USDJPY,2012-01-25 12:30:00,2.234674230020506e-07,-0.11596901496139393,30
USDJPY,2012-01-25 13:00:00,1.14815121372234e-07,-0.18579419537544217,30
USDJPY,2012-01-25 13:30:00,6.195342817443705e-08,-0.028129113505482004,30
USDJPY,2012-01-25 14:00:00,1.6377409562358787e-07,0.060151673333801885,30
USDJPY,2012-01-25 14:30:00,4.221645498940647e-08,0.24750343088172833,30
USDJPY,2012-01-25 15:00:00,4.359998741909501e-08,0.08749170962772905,30
USDJPY,2012-01-25 15:30:00,4.710222030612356e-08,-0.025233204997762684,30
EURJPY,2012-01-25 09:30:00,3.925553824098834e-08,0.09258574737437517,29
EURJPY,2012-01-25 10:00:00,2.6825964493292765e-08,-0.3538167803985654,30
EURJPY,2012-01-25 10:30:00,3.54211363894871e-08,-0.03670668991489351,30
EURJPY,2012-01-25 11:00:00,3.7186838657027035e-08,0.00492454044809092,30
EURJPY,2012-01-25 11:30:00,3.3967758663913396e-08,-0.17765969475033636,30
EURJPY,2012-01-25 12:00:00,8.415957338283283e-08,-0.3705791058098099,30
EURJPY,2012-01-25 12:30:00,1.7768968387354734e-07,-0.25614995160940096,30
EURJPY,2012-01-25 13:00:00,5.9277249612431104e-08,0.1234429733064951,30
EURJPY,2012-01-25 13:30:00,5.7532433130499095e-08,-0.02953837093767817,30
EURJPY,2012-01-25 14:00:00,1.1799095559609023e-07,-0.11913819102730894,30
EURJPY,2012-01-25 14:30:00,6.03325671160874e-08,-0.3619932358046006,30
EURJPY,2012-01-25 15:00:00,3.324616329677165e-08,0.26822053178152666,30
EURJPY,2012-01-25 15:30:00,4.5224237907280284e-08,-0.43147788028943707,30
